hiragana	kanji	eng	lesson
とこや	床屋	barber's	10
はる	春	spring	10
パンツ		pants	10
びよういん	美容院	beauty parlor	10
びん	便	flight	10
ふね	船	ship ; boat	10
やきゅう	野球	baseball	10
ゆうめいじん	有名人	celebrity	10
よやく	予約	reservation	10
らいがっき	来学期	next semester	10
りんご		apple	10
あたたかい	暖かい	warm	10
おそい	遅い	slow ; late	10
すずしい	涼しい	cold (weather)	10
つめたい	冷たい	cold (things/people)	10
ねむい	眠い	sleepy	10
かんたん（な）	簡単	easy	10
かかる		take (time / money)	10
（～に）とまる	泊まる	stay (at hotel etc)	10
なる		become	10
（～を）はらう	払う	pay	10
（～を）きめる	決める	decide	10
りょこうする	旅行する	travel	10
（～を）れんしゅうする	練習する	practice	10
あるいて	歩いて	on foot	10
いちばん	一番	best	10
～か～		or	10
～かげつ	～か月	for…months	10
～ご	～後	in…time ; after	10
このごろ		these days	10
～しゅうかん	～週間	for … weeks	10
～で		by (transportation) ; with (a tool)	10
どうやって		how ; by what	10
どちら／どっち		which	10
どのぐらい		how much ; how long	10
～ねん	～年	…years	10
はやく	早く／速く	early ; fast	10
オーストラリア		Australia	11
おかし	お菓子	snack ; sweets	11
おしょうがつ	お正月	New Year	11
おとこのこ	男の子	boy	11
おまつり	お祭り	festival	11
おもちゃ		toy	11
おんせん	温泉	spa ; hot spring	11
おんなのこ	女の子	girl	11
がいこく	外国	foreign country	11
かしゅ	歌手	singer	11
かわ	川	river	11
キャンプ		camp	11
こちら		this person (polite)	11
こんがっき	今学期	this semester	11
しゃちょう	社長	president of a company	11
じゅぎょう	授業	class	11
しょうらい	将来	future	11
じんじゃ	神社	shrine	11
つり		fishing	11
ドライブ		drive	11
ビール		beer	11
びじゅつかん	美術館	art museum	11
ホストファミリー		host family	11
みずうみ	湖	lake	11
やま	山	mountain	11
ゆめ	夢	dream	11
ルームメート		roommate	11
うそをつく		tell a lie	11
おなかがすく		become hungry	11
（～を）かう	飼う	own (a pet)	11
（～を）サボる		cut (classes)	11
（～を）とる	取る	take (a class) ; get (a grade)	11
（～を）ならう	習う	learn	11
(place　に）のぼる	登る	climb	11
はたらく	働く	work	11
つかれる	疲れる	tired	11
（～を）やめる		quit	11
けんかする		have a fight ; quarrel	11
（personにpersonを）しょうかいする	紹介する	introduce	11
ダイエットする		to on a diet	11
（～に）ちこくする	遅刻する	be late	11
(placeに）りゅうがくする	留学する	study abroad	11
(eventの）あと	後	after (an event)	11
(placeの）しゅっしん	出身	coming from	11
そして		and then	11
～だけ		just … ; only …	11
～てん	～点	… points	11
ひさしぶり	久しぶり	long time no see	11
まあまあ		okay ; so-so	11
もっと		more	11
あし	足	leg ; foot	12
いみ	意味	meaning	12
おてあらい	お手洗い	restroom	12
おなか	おなか	stomach	12
かぜ	風邪	cold	12
かのじょ	彼女	girlfriend	12
かれ	彼	boyfriend	12
きおん	気温	temperature(weather)	12
くもり	曇り	cloudy	12
しあい	試合	match ; game	12
ジュース		juice	12
せいじ	政治	politics	12
せいせき	成績	grade	12
せき		cough (n)	12
のど		throat	12
は	歯	tooth	12
はな	花	flower	12
はれ	晴れ	sunny	12
ふく	服	clothes	12
ふつかよい	二日酔い	hangover	12
プレゼント		present	12
ホームシック		homesickness	12
マイナス		minus	12
もの	物	thing	12
ゆき	雪	snow	12
ようじ	用事	business to take care	12
あまい	甘い	sweet	12
いたい	痛い	hurt ; painful	12
おおい	多い	there are many	12
せまい	狭い	narrow ; not spacious	12
つごうがわるい	都合が悪い	inconvenient ; schedule conflict	12
わるい	悪い	bad	12
すてき（な）	素敵	nice	12
あるく	歩く	walk	12
かぜをひく	風邪をひく	catch a cold	12
(topicに）きょうみがある	興味がある	be interested	12
（～を）なくす		lose	12
ねつがある	熱がある	have a fever	12
のどがかわく	のどが渇く	become thirsty	12
せきがでる	せきが出る	cough (v)	12
（personと）わかれる	別れる	break up ; separate	12
きんちょうする	緊張する	get nervous	12
しんぱいする	心配する	worry	12
おだいじに	お大事に	get well soon	12
げんきがない	元気がない	don look well	12
たぶん	多分	probably ; maybe	12
できるだけ		as much as possible	12
～でしょう		probably;…;right?	12
～ど	～度	…degrees	12
にさんにち	二三日	for 2 or 3 days	12
～ので		because …	12
はじめて	初めて	for the first time	12
もうすぐ		very soon	12
