hiragana	kanji	eng	lesson	type
もうしわけありません	申し訳ありません	You have my apologies	20	Adverbs and other expressions
よろしかったら		if it is okay (polite)	20	Adverbs and other expressions
あかちゃん	赤ちゃん	baby	21	Nouns
か	蚊	mosquito	21	Nouns
かいぎ	会議	business meetinl conference	21	Nouns
ガンリン		gasoline	21	Nouns
かんきょう	環境	environment	21	Nouns
けいさつ	警察	police; police station	21	Nouns
こうじょう	工場	factory	21	Nouns
こと	事	things; matters	21	Nouns
しゅうでん	終電	last train	21	Nouns
スピーチ		speech	21	Nouns
せいふ	政府	government	21	Nouns
ちかん		sexual offender; lascivious man	21	Nouns
どうりょう	同僚	colleague	21	Nouns
どろぼう	泥棒	thief; burglar	21	Nouns
バイト		abberviation of アルバイト	21	Nouns
はんにん	犯人	criminal	21	Nouns
ポスター		poster	21	Nouns
むかし	昔	old days; past	21	Nouns
もんく	文句	complaint	21	Nouns
もんくをいう	文句を言う	to complain	21	Nouns
るす	留守	absence; not at home	21	Nouns
とおい	遠い	far away	21	い-adj
ひどい		awful	21	い-adj
あんぜん（な）	安全	safe	21	な-adj
たいせつ（な）	大切（な）	precious; valuable	21	な-adj
めちゃくちゃ（な）		messy; disorganized	21	な-adj
おく	置く	to put; to lay; to plac	21	U-verbs
きがつく	気が付く	to notice	21	U-verbs
ける		to kick	21	U-verbs
さす	刺す	to sting; to bite; to stab	21	U-verbs
（～に）さわる	触る	to touch	21	U-verbs
つかまる	捕まる	to be arrested; to be caught	21	U-verbs
つつむ	包む	wrap; over	21	U-verbs
なぐる	殴る	strike; hit; punch	21	U-verbs
ぬすむ	盗む	steal; rob	21	U-verbs
はる	貼る	post	21	U-verbs
(～を）ふむ	踏む	step on	21	U-verbs
ふる		to turn down somebody ; reject jilt	21	U-verbs
やく	焼く	bake	21	U-verbs
やる		give (pets; plants; younger siblings)	21	U-verbs
いじめる		bully 	21	Ru-verbs
きがえる	着替える	change clothes	21	Ru-verbs
ためる		save money	21	Ru-verbs
つづける	続ける	continues	21	Ru-verbs
